#{"t_start": 1765558857.5840757, "env_id": "ContinuousCartPole-v0"}
r,l,t
170.0,170,0.932415
159.0,159,0.984941
104.0,104,1.022026
99.0,99,1.057465
130.0,130,1.100473
87.0,87,1.129116
96.0,96,1.171853
81.0,81,1.204021
92.0,92,1.254983
78.0,78,1.292802
94.0,94,1.329112
97.0,97,1.36683
87.0,87,1.399757
123.0,123,1.447774
92.0,92,1.48357
86.0,86,1.520284
192.0,192,1.594836
111.0,111,1.641587
207.0,207,1.719905
109.0,109,1.758855
139.0,139,1.809207
110.0,110,1.850386
90.0,90,1.883437
83.0,83,1.917141
108.0,108,1.959041
111.0,111,2.006359
81.0,81,2.04001
91.0,91,2.073401
145.0,145,2.127609
86.0,86,2.15883
97.0,97,2.198619
90.0,90,2.234088
143.0,143,2.286966
122.0,122,2.329906
105.0,105,2.367921
86.0,86,2.398896
95.0,95,2.434422
97.0,97,2.469366
149.0,149,2.5827
121.0,121,2.718259
146.0,146,2.846705
97.0,97,2.927368
137.0,137,3.012974
96.0,96,3.048923
94.0,94,3.083404
106.0,106,3.121981
99.0,99,3.173175
160.0,160,3.256619
139.0,139,3.342681
196.0,196,3.432545
105.0,105,3.486368
103.0,103,3.530987
87.0,87,3.566397
111.0,111,3.611598
89.0,89,3.648983
87.0,87,3.679904
192.0,192,3.748799
122.0,122,3.800254
87.0,87,3.836718
94.0,94,3.870244
132.0,132,3.919826
156.0,156,3.976401
100.0,100,4.013534
86.0,86,4.045094
128.0,128,4.093745
200.0,200,4.180619
154.0,154,4.238258
96.0,96,4.271941
118.0,118,4.317066
87.0,87,4.346849
96.0,96,4.381006
187.0,187,4.461792
180.0,180,4.527654
104.0,104,4.56581
105.0,105,4.603894
156.0,156,4.66221
148.0,148,4.718503
103.0,103,4.768954
84.0,84,4.802048
90.0,90,4.83556
133.0,133,4.884296
185.0,185,4.989642
105.0,105,5.035292
98.0,98,5.070536
89.0,89,5.110502
93.0,93,5.145636
159.0,159,5.206569
100.0,100,5.243381
110.0,110,5.282379
152.0,152,5.335342
124.0,124,5.378442
191.0,191,5.459469
84.0,84,5.488267
92.0,92,5.521483
88.0,88,5.553771
98.0,98,5.588207
87.0,87,5.62066
98.0,98,5.655217
91.0,91,5.688366
101.0,101,5.732258
